trial,scene,task,planner_profile,avoidance_profile,accepted,status,task_status,elapsed_sec,path_length_m,min_obstacle_dist_m,near_collision_events,near_collision_threshold_m,route,error,notes
1,office,delivery,navfn_astar,baseline_costmap,True,FAILED,FAILED,0.013,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=navfn_astar avoidance=baseline_costmap
2,office,delivery,navfn_astar,baseline_costmap,True,FAILED,FAILED,0.013,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=navfn_astar avoidance=baseline_costmap
3,office,delivery,navfn_astar,baseline_costmap,True,FAILED,FAILED,0.013,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=navfn_astar avoidance=baseline_costmap
4,office,delivery,navfn_astar,baseline_costmap,True,FAILED,FAILED,0.014,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=navfn_astar avoidance=baseline_costmap
5,office,delivery,navfn_astar,baseline_costmap,True,FAILED,FAILED,0.011,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=navfn_astar avoidance=baseline_costmap
6,office,delivery,navfn_astar,baseline_costmap,True,FAILED,FAILED,0.014,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=navfn_astar avoidance=baseline_costmap
7,office,delivery,navfn_astar,baseline_costmap,True,FAILED,FAILED,0.012,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=navfn_astar avoidance=baseline_costmap
8,office,delivery,navfn_astar,baseline_costmap,True,FAILED,FAILED,0.015,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=navfn_astar avoidance=baseline_costmap
9,office,delivery,navfn_astar,baseline_costmap,True,FAILED,FAILED,0.021,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=navfn_astar avoidance=baseline_costmap
10,office,delivery,navfn_astar,baseline_costmap,True,FAILED,FAILED,0.012,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=navfn_astar avoidance=baseline_costmap
