trial,scene,task,planner_profile,avoidance_profile,accepted,status,task_status,elapsed_sec,path_length_m,min_obstacle_dist_m,near_collision_events,near_collision_threshold_m,route,error,notes
1,office,patrol,navfn_astar,baseline_costmap,False,REJECTED,REJECTED,20.001,0.0,-1.0,0,0.25,charger -> patrol_a1 -> patrol_a2 -> patrol_d1 -> patrol_c -> patrol_b -> charger,,matrix scene=office planner=navfn_astar avoidance=baseline_costmap
2,office,patrol,navfn_astar,baseline_costmap,True,FAILED,FAILED,0.321,0.0,-1.0,0,0.25,charger -> patrol_a1 -> patrol_a2 -> patrol_d1 -> patrol_c -> patrol_b -> charger,,matrix scene=office planner=navfn_astar avoidance=baseline_costmap
3,office,patrol,navfn_astar,baseline_costmap,True,FAILED,FAILED,0.015,0.0,-1.0,0,0.25,charger -> patrol_a1 -> patrol_a2 -> patrol_d1 -> patrol_c -> patrol_b -> charger,,matrix scene=office planner=navfn_astar avoidance=baseline_costmap
4,office,patrol,navfn_astar,baseline_costmap,True,FAILED,FAILED,0.012,0.0,-1.0,0,0.25,charger -> patrol_a1 -> patrol_a2 -> patrol_d1 -> patrol_c -> patrol_b -> charger,,matrix scene=office planner=navfn_astar avoidance=baseline_costmap
5,office,patrol,navfn_astar,baseline_costmap,True,FAILED,FAILED,0.012,0.0,-1.0,0,0.25,charger -> patrol_a1 -> patrol_a2 -> patrol_d1 -> patrol_c -> patrol_b -> charger,,matrix scene=office planner=navfn_astar avoidance=baseline_costmap
6,office,patrol,navfn_astar,baseline_costmap,True,FAILED,FAILED,0.016,0.0,-1.0,0,0.25,charger -> patrol_a1 -> patrol_a2 -> patrol_d1 -> patrol_c -> patrol_b -> charger,,matrix scene=office planner=navfn_astar avoidance=baseline_costmap
7,office,patrol,navfn_astar,baseline_costmap,True,FAILED,FAILED,0.013,0.0,-1.0,0,0.25,charger -> patrol_a1 -> patrol_a2 -> patrol_d1 -> patrol_c -> patrol_b -> charger,,matrix scene=office planner=navfn_astar avoidance=baseline_costmap
8,office,patrol,navfn_astar,baseline_costmap,True,FAILED,FAILED,0.018,0.0,-1.0,0,0.25,charger -> patrol_a1 -> patrol_a2 -> patrol_d1 -> patrol_c -> patrol_b -> charger,,matrix scene=office planner=navfn_astar avoidance=baseline_costmap
9,office,patrol,navfn_astar,baseline_costmap,True,FAILED,FAILED,0.014,0.0,-1.0,0,0.25,charger -> patrol_a1 -> patrol_a2 -> patrol_d1 -> patrol_c -> patrol_b -> charger,,matrix scene=office planner=navfn_astar avoidance=baseline_costmap
10,office,patrol,navfn_astar,baseline_costmap,True,FAILED,FAILED,0.012,0.0,-1.0,0,0.25,charger -> patrol_a1 -> patrol_a2 -> patrol_d1 -> patrol_c -> patrol_b -> charger,,matrix scene=office planner=navfn_astar avoidance=baseline_costmap
