trial,scene,task,planner_profile,avoidance_profile,accepted,status,task_status,elapsed_sec,path_length_m,min_obstacle_dist_m,near_collision_events,near_collision_threshold_m,route,error,notes
1,office,patrol,smac_2d,collision_monitor,True,FAILED,FAILED,0.287,0.0,-1.0,0,0.25,charger -> patrol_a1 -> patrol_a2 -> patrol_d1 -> patrol_c -> patrol_b -> charger,,matrix scene=office planner=smac_2d avoidance=collision_monitor
2,office,patrol,smac_2d,collision_monitor,True,FAILED,FAILED,0.013,0.0,-1.0,0,0.25,charger -> patrol_a1 -> patrol_a2 -> patrol_d1 -> patrol_c -> patrol_b -> charger,,matrix scene=office planner=smac_2d avoidance=collision_monitor
3,office,patrol,smac_2d,collision_monitor,True,FAILED,FAILED,0.012,0.0,-1.0,0,0.25,charger -> patrol_a1 -> patrol_a2 -> patrol_d1 -> patrol_c -> patrol_b -> charger,,matrix scene=office planner=smac_2d avoidance=collision_monitor
4,office,patrol,smac_2d,collision_monitor,True,FAILED,FAILED,0.018,0.0,-1.0,0,0.25,charger -> patrol_a1 -> patrol_a2 -> patrol_d1 -> patrol_c -> patrol_b -> charger,,matrix scene=office planner=smac_2d avoidance=collision_monitor
5,office,patrol,smac_2d,collision_monitor,True,FAILED,FAILED,0.012,0.0,-1.0,0,0.25,charger -> patrol_a1 -> patrol_a2 -> patrol_d1 -> patrol_c -> patrol_b -> charger,,matrix scene=office planner=smac_2d avoidance=collision_monitor
6,office,patrol,smac_2d,collision_monitor,True,FAILED,FAILED,0.018,0.0,-1.0,0,0.25,charger -> patrol_a1 -> patrol_a2 -> patrol_d1 -> patrol_c -> patrol_b -> charger,,matrix scene=office planner=smac_2d avoidance=collision_monitor
7,office,patrol,smac_2d,collision_monitor,True,FAILED,FAILED,0.015,0.0,-1.0,0,0.25,charger -> patrol_a1 -> patrol_a2 -> patrol_d1 -> patrol_c -> patrol_b -> charger,,matrix scene=office planner=smac_2d avoidance=collision_monitor
8,office,patrol,smac_2d,collision_monitor,True,FAILED,FAILED,0.011,0.0,-1.0,0,0.25,charger -> patrol_a1 -> patrol_a2 -> patrol_d1 -> patrol_c -> patrol_b -> charger,,matrix scene=office planner=smac_2d avoidance=collision_monitor
9,office,patrol,smac_2d,collision_monitor,True,FAILED,FAILED,0.021,0.0,-1.0,0,0.25,charger -> patrol_a1 -> patrol_a2 -> patrol_d1 -> patrol_c -> patrol_b -> charger,,matrix scene=office planner=smac_2d avoidance=collision_monitor
10,office,patrol,smac_2d,collision_monitor,True,FAILED,FAILED,0.023,0.0,-1.0,0,0.25,charger -> patrol_a1 -> patrol_a2 -> patrol_d1 -> patrol_c -> patrol_b -> charger,,matrix scene=office planner=smac_2d avoidance=collision_monitor
