trial,scene,task,planner_profile,avoidance_profile,accepted,status,task_status,elapsed_sec,path_length_m,min_obstacle_dist_m,near_collision_events,near_collision_threshold_m,route,error,notes
1,warehouse,delivery,navfn_astar,collision_monitor,True,TIMEOUT,TIMEOUT,240.707,1.343,0.3,0,0.25,staging_area -> inbound -> shelf_west -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=navfn_astar avoidance=collision_monitor
2,warehouse,delivery,navfn_astar,collision_monitor,True,FAILED,FAILED,232.803,37.166,0.3,0,0.25,staging_area -> inbound -> shelf_west -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=navfn_astar avoidance=collision_monitor
3,warehouse,delivery,navfn_astar,collision_monitor,True,FAILED,FAILED,55.972,1.067,0.3,0,0.25,staging_area -> inbound -> shelf_west -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=navfn_astar avoidance=collision_monitor
4,warehouse,delivery,navfn_astar,collision_monitor,True,FAILED,FAILED,116.006,0.839,0.3,0,0.25,staging_area -> inbound -> shelf_west -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=navfn_astar avoidance=collision_monitor
5,warehouse,delivery,navfn_astar,collision_monitor,True,FAILED,FAILED,125.995,0.024,0.3,0,0.25,staging_area -> inbound -> shelf_west -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=navfn_astar avoidance=collision_monitor
6,warehouse,delivery,navfn_astar,collision_monitor,True,TIMEOUT,TIMEOUT,245.005,0.001,0.3,0,0.25,staging_area -> inbound -> shelf_west -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=navfn_astar avoidance=collision_monitor
7,warehouse,delivery,navfn_astar,collision_monitor,False,ERROR,ERROR,0.0,0.0,-1.0,0,0.25,,RuntimeError: Action server 'warehouse_delivery_scenario' is not available,matrix scene=warehouse planner=navfn_astar avoidance=collision_monitor
8,warehouse,delivery,navfn_astar,collision_monitor,False,ERROR,ERROR,0.0,0.0,-1.0,0,0.25,,RuntimeError: Action server 'warehouse_delivery_scenario' is not available,matrix scene=warehouse planner=navfn_astar avoidance=collision_monitor
9,warehouse,delivery,navfn_astar,collision_monitor,False,ERROR,ERROR,0.0,0.0,-1.0,0,0.25,,RuntimeError: Action server 'warehouse_delivery_scenario' is not available,matrix scene=warehouse planner=navfn_astar avoidance=collision_monitor
10,warehouse,delivery,navfn_astar,collision_monitor,False,ERROR,ERROR,0.0,0.0,-1.0,0,0.25,,RuntimeError: Action server 'warehouse_delivery_scenario' is not available,matrix scene=warehouse planner=navfn_astar avoidance=collision_monitor
