trial,scene,task,planner_profile,avoidance_profile,accepted,status,task_status,elapsed_sec,path_length_m,min_obstacle_dist_m,near_collision_events,near_collision_threshold_m,route,error,notes
1,warehouse,delivery,smac_2d,collision_monitor,True,FAILED,FAILED,0.612,0.0,-1.0,0,0.25,staging_area -> inbound -> shelf_west -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=collision_monitor
2,warehouse,delivery,smac_2d,collision_monitor,True,FAILED,FAILED,0.012,0.0,-1.0,0,0.25,staging_area -> inbound -> shelf_west -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=collision_monitor
3,warehouse,delivery,smac_2d,collision_monitor,True,FAILED,FAILED,0.012,0.0,-1.0,0,0.25,staging_area -> inbound -> shelf_west -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=collision_monitor
4,warehouse,delivery,smac_2d,collision_monitor,True,FAILED,FAILED,0.015,0.0,-1.0,0,0.25,staging_area -> inbound -> shelf_west -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=collision_monitor
5,warehouse,delivery,smac_2d,collision_monitor,True,FAILED,FAILED,0.012,0.0,-1.0,0,0.25,staging_area -> inbound -> shelf_west -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=collision_monitor
6,warehouse,delivery,smac_2d,collision_monitor,True,FAILED,FAILED,0.013,0.0,-1.0,0,0.25,staging_area -> inbound -> shelf_west -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=collision_monitor
7,warehouse,delivery,smac_2d,collision_monitor,True,FAILED,FAILED,0.014,0.0,-1.0,0,0.25,staging_area -> inbound -> shelf_west -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=collision_monitor
8,warehouse,delivery,smac_2d,collision_monitor,True,FAILED,FAILED,0.012,0.0,-1.0,0,0.25,staging_area -> inbound -> shelf_west -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=collision_monitor
9,warehouse,delivery,smac_2d,collision_monitor,True,FAILED,FAILED,0.013,0.0,-1.0,0,0.25,staging_area -> inbound -> shelf_west -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=collision_monitor
10,warehouse,delivery,smac_2d,collision_monitor,True,FAILED,FAILED,0.014,0.0,-1.0,0,0.25,staging_area -> inbound -> shelf_west -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=collision_monitor
