trial,scene,task,planner_profile,avoidance_profile,accepted,status,task_status,elapsed_sec,path_length_m,min_obstacle_dist_m,near_collision_events,near_collision_threshold_m,route,error,notes
1,warehouse,demo,navfn_astar,baseline_costmap,False,REJECTED,REJECTED,0.038,0.0,-1.0,0,0.25,staging_area -> demo_checkpoint -> staging_area,,matrix scene=warehouse planner=navfn_astar avoidance=baseline_costmap
2,warehouse,demo,navfn_astar,baseline_costmap,False,REJECTED,REJECTED,0.001,0.0,-1.0,0,0.25,staging_area -> demo_checkpoint -> staging_area,,matrix scene=warehouse planner=navfn_astar avoidance=baseline_costmap
3,warehouse,demo,navfn_astar,baseline_costmap,False,REJECTED,REJECTED,0.004,0.0,-1.0,0,0.25,staging_area -> demo_checkpoint -> staging_area,,matrix scene=warehouse planner=navfn_astar avoidance=baseline_costmap
4,warehouse,demo,navfn_astar,baseline_costmap,False,REJECTED,REJECTED,0.001,0.0,-1.0,0,0.25,staging_area -> demo_checkpoint -> staging_area,,matrix scene=warehouse planner=navfn_astar avoidance=baseline_costmap
5,warehouse,demo,navfn_astar,baseline_costmap,False,REJECTED,REJECTED,0.001,0.0,-1.0,0,0.25,staging_area -> demo_checkpoint -> staging_area,,matrix scene=warehouse planner=navfn_astar avoidance=baseline_costmap
6,warehouse,demo,navfn_astar,baseline_costmap,False,REJECTED,REJECTED,0.001,0.0,-1.0,0,0.25,staging_area -> demo_checkpoint -> staging_area,,matrix scene=warehouse planner=navfn_astar avoidance=baseline_costmap
7,warehouse,demo,navfn_astar,baseline_costmap,False,REJECTED,REJECTED,0.002,0.0,-1.0,0,0.25,staging_area -> demo_checkpoint -> staging_area,,matrix scene=warehouse planner=navfn_astar avoidance=baseline_costmap
8,warehouse,demo,navfn_astar,baseline_costmap,False,REJECTED,REJECTED,0.002,0.0,-1.0,0,0.25,staging_area -> demo_checkpoint -> staging_area,,matrix scene=warehouse planner=navfn_astar avoidance=baseline_costmap
9,warehouse,demo,navfn_astar,baseline_costmap,False,REJECTED,REJECTED,0.002,0.0,-1.0,0,0.25,staging_area -> demo_checkpoint -> staging_area,,matrix scene=warehouse planner=navfn_astar avoidance=baseline_costmap
10,warehouse,demo,navfn_astar,baseline_costmap,False,REJECTED,REJECTED,0.002,0.0,-1.0,0,0.25,staging_area -> demo_checkpoint -> staging_area,,matrix scene=warehouse planner=navfn_astar avoidance=baseline_costmap
