trial,scene,task,planner_profile,avoidance_profile,accepted,status,task_status,elapsed_sec,path_length_m,min_obstacle_dist_m,near_collision_events,near_collision_threshold_m,route,error,notes
1,warehouse,patrol,navfn_astar,baseline_costmap,False,REJECTED,REJECTED,0.008,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=navfn_astar avoidance=baseline_costmap
2,warehouse,patrol,navfn_astar,baseline_costmap,False,REJECTED,REJECTED,0.001,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=navfn_astar avoidance=baseline_costmap
3,warehouse,patrol,navfn_astar,baseline_costmap,False,REJECTED,REJECTED,0.001,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=navfn_astar avoidance=baseline_costmap
4,warehouse,patrol,navfn_astar,baseline_costmap,False,REJECTED,REJECTED,0.001,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=navfn_astar avoidance=baseline_costmap
5,warehouse,patrol,navfn_astar,baseline_costmap,False,REJECTED,REJECTED,0.001,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=navfn_astar avoidance=baseline_costmap
6,warehouse,patrol,navfn_astar,baseline_costmap,False,REJECTED,REJECTED,0.001,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=navfn_astar avoidance=baseline_costmap
7,warehouse,patrol,navfn_astar,baseline_costmap,False,REJECTED,REJECTED,0.001,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=navfn_astar avoidance=baseline_costmap
8,warehouse,patrol,navfn_astar,baseline_costmap,False,REJECTED,REJECTED,0.001,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=navfn_astar avoidance=baseline_costmap
9,warehouse,patrol,navfn_astar,baseline_costmap,False,REJECTED,REJECTED,0.001,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=navfn_astar avoidance=baseline_costmap
10,warehouse,patrol,navfn_astar,baseline_costmap,False,REJECTED,REJECTED,0.003,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=navfn_astar avoidance=baseline_costmap
