trial,scene,task,planner_profile,avoidance_profile,accepted,status,task_status,elapsed_sec,path_length_m,min_obstacle_dist_m,near_collision_events,near_collision_threshold_m,route,error,notes
1,warehouse,patrol,navfn_astar,collision_monitor,False,ERROR,ERROR,0.0,0.0,-1.0,0,0.25,,RuntimeError: Action server 'warehouse_delivery_scenario' is not available,matrix scene=warehouse planner=navfn_astar avoidance=collision_monitor
2,warehouse,patrol,navfn_astar,collision_monitor,False,ERROR,ERROR,0.0,0.0,-1.0,0,0.25,,RuntimeError: Action server 'warehouse_delivery_scenario' is not available,matrix scene=warehouse planner=navfn_astar avoidance=collision_monitor
3,warehouse,patrol,navfn_astar,collision_monitor,False,ERROR,ERROR,0.0,0.0,-1.0,0,0.25,,RuntimeError: Action server 'warehouse_delivery_scenario' is not available,matrix scene=warehouse planner=navfn_astar avoidance=collision_monitor
4,warehouse,patrol,navfn_astar,collision_monitor,False,ERROR,ERROR,0.0,0.0,-1.0,0,0.25,,RuntimeError: Action server 'warehouse_delivery_scenario' is not available,matrix scene=warehouse planner=navfn_astar avoidance=collision_monitor
5,warehouse,patrol,navfn_astar,collision_monitor,False,ERROR,ERROR,0.0,0.0,-1.0,0,0.25,,RuntimeError: Action server 'warehouse_delivery_scenario' is not available,matrix scene=warehouse planner=navfn_astar avoidance=collision_monitor
6,warehouse,patrol,navfn_astar,collision_monitor,False,ERROR,ERROR,0.0,0.0,-1.0,0,0.25,,RuntimeError: Action server 'warehouse_delivery_scenario' is not available,matrix scene=warehouse planner=navfn_astar avoidance=collision_monitor
7,warehouse,patrol,navfn_astar,collision_monitor,False,ERROR,ERROR,0.0,0.0,-1.0,0,0.25,,RuntimeError: Action server 'warehouse_delivery_scenario' is not available,matrix scene=warehouse planner=navfn_astar avoidance=collision_monitor
8,warehouse,patrol,navfn_astar,collision_monitor,False,ERROR,ERROR,0.0,0.0,-1.0,0,0.25,,RuntimeError: Action server 'warehouse_delivery_scenario' is not available,matrix scene=warehouse planner=navfn_astar avoidance=collision_monitor
9,warehouse,patrol,navfn_astar,collision_monitor,False,ERROR,ERROR,0.0,0.0,-1.0,0,0.25,,RuntimeError: Action server 'warehouse_delivery_scenario' is not available,matrix scene=warehouse planner=navfn_astar avoidance=collision_monitor
10,warehouse,patrol,navfn_astar,collision_monitor,False,ERROR,ERROR,0.0,0.0,-1.0,0,0.25,,RuntimeError: Action server 'warehouse_delivery_scenario' is not available,matrix scene=warehouse planner=navfn_astar avoidance=collision_monitor
