trial,scene,task,planner_profile,avoidance_profile,accepted,status,task_status,elapsed_sec,path_length_m,min_obstacle_dist_m,near_collision_events,near_collision_threshold_m,route,error,notes
1,warehouse,patrol,smac_2d,baseline_costmap,True,FAILED,FAILED,0.414,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=baseline_costmap
2,warehouse,patrol,smac_2d,baseline_costmap,True,FAILED,FAILED,0.097,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=baseline_costmap
3,warehouse,patrol,smac_2d,baseline_costmap,True,FAILED,FAILED,0.014,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=baseline_costmap
4,warehouse,patrol,smac_2d,baseline_costmap,True,FAILED,FAILED,0.013,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=baseline_costmap
5,warehouse,patrol,smac_2d,baseline_costmap,True,FAILED,FAILED,0.016,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=baseline_costmap
6,warehouse,patrol,smac_2d,baseline_costmap,True,FAILED,FAILED,0.018,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=baseline_costmap
7,warehouse,patrol,smac_2d,baseline_costmap,True,FAILED,FAILED,0.02,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=baseline_costmap
8,warehouse,patrol,smac_2d,baseline_costmap,True,FAILED,FAILED,0.012,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=baseline_costmap
9,warehouse,patrol,smac_2d,baseline_costmap,True,FAILED,FAILED,0.011,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=baseline_costmap
10,warehouse,patrol,smac_2d,baseline_costmap,True,FAILED,FAILED,0.02,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=baseline_costmap
