trial,scene,task,planner_profile,avoidance_profile,accepted,status,task_status,elapsed_sec,path_length_m,min_obstacle_dist_m,near_collision_events,near_collision_threshold_m,route,error,notes
1,warehouse,patrol,smac_2d,collision_monitor,True,FAILED,FAILED,0.305,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=collision_monitor
2,warehouse,patrol,smac_2d,collision_monitor,True,FAILED,FAILED,0.015,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=collision_monitor
3,warehouse,patrol,smac_2d,collision_monitor,True,FAILED,FAILED,0.014,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=collision_monitor
4,warehouse,patrol,smac_2d,collision_monitor,True,FAILED,FAILED,0.013,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=collision_monitor
5,warehouse,patrol,smac_2d,collision_monitor,True,FAILED,FAILED,0.016,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=collision_monitor
6,warehouse,patrol,smac_2d,collision_monitor,True,FAILED,FAILED,0.013,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=collision_monitor
7,warehouse,patrol,smac_2d,collision_monitor,True,FAILED,FAILED,0.013,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=collision_monitor
8,warehouse,patrol,smac_2d,collision_monitor,True,FAILED,FAILED,0.017,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=collision_monitor
9,warehouse,patrol,smac_2d,collision_monitor,True,FAILED,FAILED,0.012,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=collision_monitor
10,warehouse,patrol,smac_2d,collision_monitor,True,FAILED,FAILED,0.012,0.0,-1.0,0,0.25,charging_dock -> staging_area -> inbound -> shelf_center -> shelf_east -> outbound -> charging_dock,,matrix scene=warehouse planner=smac_2d avoidance=collision_monitor
