scene,task,planner_profile,avoidance_profile,trials,success_rate,elapsed_sec_mean,path_length_m_mean,min_obstacle_dist_m_mean,near_collision_events_mean
office,delivery,navfn_astar,baseline_costmap,10,1.0,0.014,0.0,-1.0,0.0
office,delivery,navfn_astar,collision_monitor,10,1.0,0.013,0.0,-1.0,0.0
office,delivery,smac_2d,baseline_costmap,10,1.0,0.077,0.0,-1.0,0.0
office,delivery,smac_2d,collision_monitor,10,1.0,0.014,0.0,-1.0,0.0
office,demo,navfn_astar,baseline_costmap,10,1.0,0.039,0.0,-1.0,0.0
office,demo,navfn_astar,collision_monitor,10,1.0,0.158,0.0,-1.0,0.0
office,demo,smac_2d,baseline_costmap,10,0.9,2.036,0.0,-1.0,0.0
office,demo,smac_2d,collision_monitor,10,1.0,0.037,0.0,-1.0,0.0
office,patrol,navfn_astar,baseline_costmap,10,0.9,2.043,0.0,-1.0,0.0
office,patrol,navfn_astar,collision_monitor,10,1.0,0.045,0.0,-1.0,0.0
office,patrol,smac_2d,baseline_costmap,10,1.0,0.045,0.0,-1.0,0.0
office,patrol,smac_2d,collision_monitor,10,1.0,0.043,0.0,-1.0,0.0
warehouse,delivery,navfn_astar,baseline_costmap,10,0.0,0.002,0.0,0.878,0.0
warehouse,delivery,navfn_astar,collision_monitor,10,0.4,101.649,4.044,0.3,0.0
warehouse,delivery,smac_2d,baseline_costmap,10,1.0,0.031,0.0,-1.0,0.0
warehouse,delivery,smac_2d,collision_monitor,10,1.0,0.073,0.0,-1.0,0.0
warehouse,demo,navfn_astar,baseline_costmap,10,0.0,0.005,0.0,-1.0,0.0
warehouse,demo,navfn_astar,collision_monitor,10,0.0,0.0,0.0,-1.0,0.0
warehouse,demo,smac_2d,baseline_costmap,10,1.0,0.044,0.0,-1.0,0.0
warehouse,demo,smac_2d,collision_monitor,10,1.0,0.046,0.0,-1.0,0.0
warehouse,patrol,navfn_astar,baseline_costmap,10,0.0,0.002,0.0,-1.0,0.0
warehouse,patrol,navfn_astar,collision_monitor,10,0.0,0.0,0.0,-1.0,0.0
warehouse,patrol,smac_2d,baseline_costmap,10,1.0,0.064,0.0,-1.0,0.0
warehouse,patrol,smac_2d,collision_monitor,10,1.0,0.043,0.0,-1.0,0.0
